OADB,EADB,EAWB,RH,TC,SHC,kW,airflow,SFP
105,105,67,12.19958243,269000,306100,25.9,5500,
105,105,62,5.154232901,246000,338125,25.7,5500,
105,105,57,-1.208208779,228000,353050,25.4,5500,
105,105,75,25.13447896,322000,303156.25,26.6,6875,
105,105,72,20.02318878,307000,312921.875,26.4,6875,
105,105,67,12.19958243,282000,356484.375,26.2,6875,
105,105,62,5.154232901,258000,392375,25.9,6875,
105,105,57,-1.208208779,244000,387687.5,25.7,6875,
105,105,75,25.13447896,332000,312156.25,26.9,8250,
105,105,72,20.02318878,316000,358575,26.7,8250,
105,105,67,12.19958243,290000,404112.5,26.3,8250,
105,105,62,5.154232901,266000,443112.5,26,8250,
105,105,57,-1.208208779,258000,410006.25,25.8,8250,
105,105,75,25.13447896,339000,360750,27,9625,
105,105,72,20.02318878,323000,400337.5,26.8,9625,
105,105,67,12.19958243,297000,449984.375,26.4,9625,
105,105,62,5.154232901,274000,481043.75,26,9625,
105,105,57,-1.208208779,270000,428812.5,26,9625,
115,115,75,15.36478347,296000,331750,29.3,5500,
115,115,72,11.54235461,281000,308400,29.3,5500,
115,115,67,5.691546355,257000,354340,29.4,5500,
115,115,62,0.422749936,235000,386575,29.5,5500,
115,115,57,-4.335340464,220000,389517.5,29.3,5500,
115,115,75,15.36478347,309000,372512.5,29.7,6875,
115,115,72,11.54235461,293000,375984.375,29.6,6875,
115,115,67,5.691546355,269000,418925,29.5,6875,
115,115,62,0.422749936,246000,453925,29.5,6875,
115,115,57,-4.335340464,235000,428221.875,29.4,6875,
115,115,75,15.36478347,317000,387923.75,30,8250,
115,115,72,11.54235461,302000,431981.25,29.8,8250,
115,115,67,5.691546355,277000,479333.75,29.6,8250,
115,115,62,0.422749936,254000,515157.5,29.5,8250,
115,115,57,-4.335340464,249000,455456.25,29.4,8250,
115,115,75,15.36478347,324000,444155.625,30.2,9625,
115,115,72,11.54235461,308000,483272.5,29.9,9625,
115,115,67,5.691546355,282000,533978.125,29.7,9625,
115,115,62,0.422749936,262000,550450,29.4,9625,
115,115,57,-4.335340464,259000,473926.25,29.4,9625,
75,75,75,100,384000,121855,19.9,11000,
75,75,72,86.8608738,365000,151830,19.6,11000,
75,75,67,66.74944445,337000,204225,19,11000,
75,75,62,48.63860876,311000,251830,18.6,11000,
75,75,57,32.28326182,307000,271140,18.5,11000,
75,75,75,100,389000,121406.25,20,12375,
75,75,72,86.8608738,371000,155364.375,19.7,12375,
75,75,67,66.74944445,342000,213683.75,19.1,12375,
75,75,62,48.63860876,319000,257767.5,18.7,12375,
75,75,57,32.28326182,316000,279060.625,18.7,12375,
75,75,75,100,394000,122562.5,20.1,13750,
75,75,72,86.8608738,375000,159050,19.8,13750,
75,75,67,66.74944445,346000,223293.75,19.2,13750,
75,75,62,48.63860876,324000,269343.75,18.8,13750,
75,75,57,32.28326182,324000,285981.25,18.8,13750,
85,85,75,63.56878019,370000,209750,22,11000,
85,85,72,54.09934936,353000,245170,21.7,11000,
85,85,67,39.60494643,326000,299775,21.2,11000,
85,85,62,26.55238089,302000,342565,20.8,11000,
85,85,57,14.76500445,299000,334255,20.7,11000,
85,85,75,63.56878019,375000,223274.375,22.1,12375,
85,85,72,54.09934936,358000,260635.625,21.8,12375,
85,85,67,39.60494643,331000,320316.25,21.3,12375,
85,85,62,26.55238089,309000,350871.25,20.9,12375,
85,85,57,14.76500445,307000,343258.75,20.8,12375,
85,85,75,63.56878019,380000,235193.75,22.2,13750,
85,85,72,54.09934936,362000,274950,21.9,13750,
85,85,67,39.60494643,334000,339706.25,21.3,13750,
85,85,62,26.55238089,315000,368143.75,21,13750,
85,85,57,14.76500445,315000,351506.25,21,13750,
95,95,75,40.20910644,358000,303385,24.4,11000,
95,95,72,33.29467909,342000,340830,24.1,11000,
95,95,67,22.71109727,315000,397460,23.7,11000,
95,95,62,13.1803221,292000,425570,23.3,11000,
95,95,57,4.573367842,290000,393455,23.2,11000,
